Squad;#Pl_passing;90s_passing;Cmp_passing;Att_passing;Cmp%_passing;TotDist_passing;PrgDist_passing;Cmp.1_passing;Att.1_passing;Cmp%.1_passing;Cmp.2_passing;Att.2_passing;Cmp%.2_passing;Cmp.3_passing;Att.3_passing;Cmp%.3_passing;Ast_passing;xAG_passing;xA_passing;A-xAG_passing;KP_passing;01-Mar_passing;PPA_passing;CrsPA_passing;PrgP_passing;Gls_shooting;Sh_shooting;SoT_shooting;Sot%_shooting;Sh/90_shooting;Sot/90_shooting;G/Sh_shooting;G/SoT_shooting;Dist_shooting;FK_shooting;PK_shooting;PKatt_shooting;xG_shooting;npxG_shooting;npxG/Sh_shooting;G-xG_shooting;np:G-xG_shooting;#Pl_goalkeeping;Min_goalkeeping;GA_goalkeeping;GA90_goalkeeping;SoTA_goalkeeping;SAVES_goalkeeping;Save%_goalkeeping;W_goalkeeping;D_goalkeeping;L_goalkeeping;CS_goalkeeping;CS%_goalkeeping;PKatt_goalkeeping;PKA_goalkeeping;PKsv_goalkeeping;PKm_goalkeeping;Save%.1_goalkeeping;GF_laliga;GD_laliga;Pts_laliga;Pts/MP_laliga;xGA_laliga;xGD_laliga;xGD/90_laliga;Attendance_laliga;Age_stats;Poss_stats;Starts_stats;Min_stats;G+A_stats;G-PK_stats;CrdY_stats;CrdR_stats;npxG+xAG_stats;PrgC_stats;Gls.1_stats;Ast.1_stats;G+A.1_stats;G-PK.1_stats;G+A-PK_stats;xG.1_stats;xAG.1_stats;xG+xAG_stats;npxG.1_stats;npxG+xAG.1_stats
Alavés;29;38;10534;14746;71.4;199550;84871;4546;5494;82.7;4441;5542;80.1;1312;2838;46.2;20;25.4;25.9;-5.4;284;963;229;99;1160;38;393;123;31.3;10.34;3.24;0.07;0.24;17.8;10;9;11;42.8;34.1;0.09;-4.8;-5.1;3;3,419;48;1.26;132;86;72;10;12;16;9;23.7;11;11;0;0;0;38;-10;42;1.11;47;-4.2;-0.11;17,318;26.6;45.3;418;3,420;58;29;107;5;59.5;449;1;0.53;1.53;0.76;1.29;1.13;0.67;1.79;0.9;1.57
Athletic Club;31;38;13665;17375;78.6;253362;90647;5552;6396;86.8;6520;7522;86.7;1395;2733;51;40;36.7;33.1;3.3;351;1283;274;90;1579;53;462;148;32;12.16;3.89;0.11;0.34;17.4;8;3;6;53;48.2;0.11;0;1.8;3;3,417;29;0.76;113;83;77;19;13;6;15;39.5;5;3;2;0;40;54;25;70;1.84;37.8;15.2;0.4;48,420;26.9;48.4;418;3,420;93;50;64;3;84.9;682;1.39;1.05;2.45;1.32;2.37;1.39;0.97;2.36;1.27;2.23
Atlético Madrid;24;38;17826;21418;83.2;295213;100382;8814;9752;90.4;6993;7984;87.6;1486;2519;59;51;47.9;45.3;3.1;348;1233;365;96;1559;68;463;174;37.6;12.18;4.58;0.13;0.36;17;13;6;7;64.6;59.3;0.13;3.4;2.7;2;3,420;30;0.79;116;88;78.4;22;10;6;17;44.7;5;5;0;0;0;68;38;76;2;33.4;31.2;0.82;60,883;28.4;52.6;418;3,420;119;62;75;3;107.2;760;1.79;1.34;3.13;1.63;2.97;1.7;1.26;2.96;1.56;2.82
Barcelona;28;38;22321;25721;86.8;371914;116385;10452;11341;92.2;9674;10643;90.9;1577;2424;65.1;72;67.5;64.7;4.5;500;2020;479;77;2212;99;670;240;35.8;17.63;6.32;0.14;0.38;17.1;27;7;8;91.5;85.2;0.13;7.5;6.8;3;3,420;39;1.03;108;69;67.6;28;4;6;13;34.2;4;4;0;0;0;102;63;88;2.32;41.9;49.5;1.3;45,953;24.7;68.3;418;3,420;171;92;63;3;152.7;860;2.61;1.89;4.5;2.42;4.32;2.41;1.78;4.18;2.24;4.02
Betis;36;38;15770;19284;81.8;264738;91436;7583;8423;90;6318;7291;86.7;1341;2443;54.9;37;37.5;34.8;-0.5;417;1127;329;75;1486;55;518;176;34;13.63;4.63;0.09;0.27;18.1;14;7;10;54.7;46.9;0.09;0.3;1.1;3;3,420;50;1.32;141;92;67.4;16;12;10;7;18.4;4;4;0;0;0;57;7;60;1.58;50.6;4.1;0.11;51,542;27.5;52.4;418;3,420;92;48;75;4;84.5;679;1.45;0.97;2.42;1.26;2.24;1.44;0.99;2.43;1.23;2.22
Celta Vigo;30;38;17798;21253;83.7;312877;104182;7549;8367;90.2;8368;9325;89.7;1480;2521;58.7;40;38.4;36.9;1.6;339;1424;300;53;1659;58;442;167;37.8;11.63;4.39;0.11;0.3;17.9;19;8;9;54.2;47.3;0.11;3.8;2.7;2;3,420;57;1.5;145;89;62.8;16;7;15;8;21.1;4;3;1;0;25;59;2;55;1.45;43.4;10.9;0.29;21,504;26.8;53.6;418;3,420;98;50;84;6;85.7;709;1.53;1.05;2.58;1.32;2.37;1.43;1.01;2.44;1.24;2.26
Espanyol;27;38;10580;13996;75.6;199624;80026;4245;4942;85.9;4814;5678;84.8;1297;2629;49.3;27;24.5;23.4;2.5;256;772;204;81;1000;38;351;98;27.9;9.24;2.58;0.09;0.34;18.4;15;5;5;34.4;30.5;0.09;3.6;2.5;1;3,420;51;1.34;192;140;75.5;11;9;18;8;21.1;6;4;2;0;33.3;40;-11;42;1.11;53.8;-19.4;-0.51;25,640;25.2;39.8;418;3,420;65;33;88;1;55;497;1;0.71;1.71;0.87;1.58;0.91;0.65;1.55;0.8;1.45
Getafe;30;38;8695;12922;67.3;169125;74933;3711;4579;81;3515;4628;76;1250;2951;42.4;21;23.9;23.8;-2.9;296;958;226;104;981;34;430;122;28.4;11.32;3.21;0.07;0.24;19.4;17;5;5;36.8;33;0.08;-2.8;-4;1;3,420;39;1.03;126;86;75.4;11;9;18;9;23.7;9;8;1;0;11.1;34;-5;42;1.11;46.2;-9.4;-0.25;11,469;27.7;41.8;418;3,420;55;29;110;7;56.9;368;0.89;0.55;1.45;0.76;1.32;0.97;0.63;1.6;0.87;1.5
Girona;30;38;18273;21401;85.4;322614;100730;8002;8697;92;8458;9319;90.8;1526;2565;59.5;31;31.6;37.4;-0.6;308;1494;302;87;1691;43;397;134;33.8;10.45;3.53;0.1;0.29;17.7;13;4;5;42.5;38.6;0.1;0.5;0.4;3;3,420;60;1.58;164;102;65.2;11;8;19;8;21.1;6;3;3;0;50;44;-16;41;1.08;50.4;-8;-0.21;11,657;27.5;56.3;418;3,420;74;39;76;2;70.2;765;1.13;0.82;1.95;1.03;1.84;1.12;0.83;1.95;1.02;1.85
Las Palmas;34;38;14352;18209;78.8;254010;92291;6396;7255;88.2;6214;7269;85.5;1395;2776;50.3;27;26.3;26.5;0.7;304;1059;246;79;1210;38;409;134;32.8;10.76;3.53;0.09;0.26;19.2;21;3;4;36.3;33.2;0.08;1.7;1.8;2;3,420;61;1.61;182;120;69.2;8;8;22;4;10.5;10;5;4;1;44.4;40;-21;32;0.84;66.8;-30.5;-0.8;23,010;26.8;50.7;418;3,420;65;35;110;4;59.4;499;1;0.71;1.71;0.92;1.63;0.96;0.69;1.65;0.87;1.56
Leganés;26;38;11207;14840;75.5;201808;76373;5038;5734;87.9;4716;5600;84.2;1169;2735;42.7;27;23.3;21.8;3.7;241;796;187;45;1030;38;345;110;31.9;9.08;2.89;0.1;0.3;20.1;19;5;7;36;30.6;0.09;2;2.4;2;3,420;56;1.47;175;122;72;9;13;16;11;28.9;8;7;0;1;0;39;-17;40;1.05;59.4;-23.4;-0.62;11,135;27.8;42.6;418;3,420;65;33;82;6;53.8;417;1;0.71;1.71;0.87;1.58;0.95;0.61;1.56;0.8;1.42
Mallorca;28;38;12613;16224;77.7;232365;90368;5538;6293;88;5349;6310;84.8;1466;2803;52.3;24;26.5;28.3;-2.5;282;973;239;112;1184;34;382;107;28;10.05;2.82;0.08;0.28;16.3;7;4;5;38.8;34.9;0.09;-4.8;-4.9;2;3,420;44;1.16;165;122;75.2;13;9;16;9;23.7;3;3;0;0;0;35;-9;48;1.26;46.8;-8.1;-0.21;18,502;28.7;46.8;418;3,420;58;30;81;6;61.3;479;0.89;0.63;1.53;0.79;1.42;1.02;0.7;1.72;0.92;1.61
Osasuna;25;38;12184;16028;76;230479;92624;5022;5858;85.7;5403;6487;83.3;1489;2835;52.5;28;29.8;33.4;-1.8;300;963;265;127;1221;46;409;123;30.1;10.76;3.24;0.09;0.3;16.7;9;9;9;44;37.8;0.09;2;-0.8;2;3,420;52;1.37;187;136;75.9;12;16;10;9;23.7;7;7;0;0;0;48;-4;52;1.37;53.7;-9.7;-0.25;20,476;27.4;46.1;418;3,420;74;37;88;0;67.6;567;1.21;0.74;1.95;0.97;1.71;1.16;0.78;1.94;0.99;1.78
Rayo Vallecano;26;38;13936;17861;78;247359;94801;6459;7310;88.4;5793;6748;85.8;1401;2920;48;27;36.2;32.2;-9.2;374;1081;242;85;1362;38;514;162;31.5;13.53;4.26;0.07;0.23;19.3;25;0;1;45.4;44.6;0.09;-7.4;-6.6;2;3,420;45;1.18;153;107;74.5;13;13;12;10;26.3;8;6;2;0;25;41;-4;52;1.37;49;-3.5;-0.09;12,908;29.3;51.7;418;3,420;65;38;96;3;80.9;589;1;0.71;1.71;1;1.71;1.2;0.95;2.15;1.17;2.13
Real Madrid;30;38;21356;24221;88.2;356264;110503;10517;11248;93.5;8566;9311;92;1723;2595;66.4;55;54.6;52.2;0.4;501;1773;359;34;1967;78;621;229;36.9;16.34;6.03;0.11;0.3;18.1;15;10;14;75.3;64.5;0.11;2.7;3.5;3;3,420;38;1;126;89;72.2;26;6;6;15;39.5;3;3;0;0;0;78;40;84;2.21;42.8;32.5;0.86;69,807;26.6;60.4;418;3,420;133;68;57;4;119;983;2.05;1.45;3.5;1.79;3.24;1.98;1.44;3.42;1.7;3.13
Real Sociedad;31;38;14880;18759;79.3;261975;89905;6750;7619;88.6;6360;7434;85.6;1421;2687;52.9;22;30.9;30.7;-8.9;284;1087;242;64;1341;34;385;122;31.7;10.13;3.21;0.08;0.25;17.5;10;4;4;42.5;39.3;0.1;-8.5;-9.3;2;3,420;46;1.21;142;94;71.1;13;7;18;13;34.2;7;5;2;0;28.6;35;-11;46;1.21;43.9;-1.5;-0.04;29,877;25.2;53.8;418;3,420;56;30;85;4;70.3;645;0.89;0.58;1.47;0.79;1.37;1.12;0.81;1.93;1.03;1.85
Sevilla;35;38;14432;18057;79.9;252909;88471;6743;7466;90.3;6146;7086;86.7;1267;2706;46.8;32;30.8;24.4;1.2;357;1072;210;60;1193;39;472;148;31.4;12.42;3.89;0.08;0.25;18.8;14;2;3;42.7;40.3;0.09;-3.7;-3.3;2;3,420;55;1.45;148;93;66.2;10;11;17;10;26.3;6;5;1;0;16.7;42;-13;41;1.08;47.4;-4.7;-0.12;35,619;26.1;50.5;418;3,420;71;37;98;8;71.1;594;1.03;0.84;1.87;0.97;1.82;1.12;0.81;1.93;1.06;1.87
Valencia;32;38;13938;17708;78.7;246799;86682;6341;7094;89.4;6081;7066;86.1;1284;2634;48.7;26;30;33.4;-4;284;1109;254;91;1340;43;383;116;30.3;10.08;3.05;0.1;0.33;17.2;6;5;5;43.3;39.3;0.11;-0.3;-1.3;2;3,420;54;1.42;148;95;67.6;11;13;14;8;21.1;9;6;2;1;25;44;-10;46;1.21;51.9;-8.6;-0.23;43,042;24.7;48.4;418;3,420;69;38;86;1;69.3;572;1.13;0.68;1.82;1;1.68;1.14;0.79;1.93;1.03;1.82
Valladolid;38;38;12052;15387;78.3;228419;83632;4795;5456;87.9;5607;6494;86.3;1410;2699;52.2;15;25.7;24.3;-10.7;256;752;176;93;991;26;331;97;29.3;8.71;2.55;0.06;0.22;18;11;5;5;34.6;30.7;0.09;-8.6;-9.7;3;3,420;90;2.37;204;115;59.3;4;4;30;5;13.2;7;7;0;0;0;26;-64;16;0.42;67.6;-33;-0.87;19,831;25.6;42.8;418;3,420;41;21;91;5;56.4;476;0.68;0.39;1.08;0.55;0.95;0.91;0.68;1.59;0.81;1.48
Villarreal;31;38;14532;17825;81.5;262800;96388;6234;6978;89.3;6564;7485;87.7;1463;2559;57.2;51;49.7;48;1.3;427;1146;371;102;1522;69;530;171;32.3;13.95;4.5;0.12;0.37;16;9;5;7;64.8;59.1;0.12;4.2;4.9;2;3,420;51;1.34;160;110;72.5;20;10;8;7;18.4;8;7;0;1;0;71;20;70;1.84;44.4;20.4;0.54;18,266;26.7;47.6;418;3,420;120;64;96;4;108.8;693;1.82;1.34;3.16;1.68;3.03;1.71;1.31;3.01;1.56;2.86
